dataset,split_mode,split_seed,depth,weight_decay,architecture,seed,val_acc,test_acc,final_energy
cora,canonical,canonical,2,0,nbsc,0,0.7200,0.7390,10.378247
cora,canonical,canonical,2,0,gcn,0,0.7400,0.7590,0.896991
cora,canonical,canonical,2,0,nbsc,1,0.7140,0.7220,11.275286
cora,canonical,canonical,2,0,gcn,1,0.7720,0.7820,0.936932
cora,canonical,canonical,2,0,nbsc,2,0.6820,0.6990,10.868012
cora,canonical,canonical,2,0,gcn,2,0.7420,0.7620,0.766581
cora,canonical,canonical,1,0,nbsc,0,0.6900,0.6570,4.556212
cora,canonical,canonical,1,0,gcn,0,0.7340,0.7470,1.223524
cora,canonical,canonical,1,0,nbsc,1,0.7000,0.6740,5.320784
cora,canonical,canonical,1,0,gcn,1,0.7300,0.7610,1.243530
cora,canonical,canonical,3,0,nbsc,0,0.6660,0.6550,12.216836
cora,canonical,canonical,3,0,gcn,0,0.6880,0.7270,1.079016
cora,canonical,canonical,3,0,nbsc,1,0.6680,0.6810,12.083125
cora,canonical,canonical,3,0,gcn,1,0.6880,0.7120,1.258221
citeseer,canonical,canonical,2,0,nbsc,0,0.5220,0.5590,6.812773
citeseer,canonical,canonical,2,0,gcn,0,0.5600,0.5490,0.360513
citeseer,canonical,canonical,2,0,nbsc,1,0.5680,0.5720,7.249135
citeseer,canonical,canonical,2,0,gcn,1,0.5920,0.6110,0.345109
citeseer,canonical,canonical,2,0,nbsc,2,0.5860,0.5550,6.237116
citeseer,canonical,canonical,2,0,gcn,2,0.6500,0.6500,0.343968
